cell	stage	status	seconds
lr0.0001_B_s42	finetune	ok	1462
lr0.0001_B_s42	retention_final_state	ok	136
lr0.0001_B_s42	retention_best_encoder	ok	134
lr0.0001_B_s123	finetune	ok	1772
lr0.0001_B_s123	retention_final_state	ok	127
lr0.0001_B_s123	retention_best_encoder	ok	130
lr0.0001_B_s456	finetune	ok	1461
lr0.0001_B_s456	retention_final_state	ok	98
lr0.0001_B_s456	retention_best_encoder	ok	94
lr0.0001_D_s42	finetune	ok	1213
lr0.0001_D_s42	retention_final_state	ok	96
lr0.0001_D_s42	retention_best_encoder	ok	93
lr0.0001_D_s123	finetune	ok	1755
lr0.0001_D_s123	retention_final_state	ok	136
lr0.0001_D_s123	retention_best_encoder	ok	136
lr0.0001_D_s456	finetune	ok	1758
lr0.0001_D_s456	retention_final_state	ok	138
lr0.0001_D_s456	retention_best_encoder	ok	134
lr0.001_B_s42	finetune	ok	1733
lr0.001_B_s42	retention_final_state	ok	135
lr0.001_B_s42	retention_best_encoder	ok	133
lr0.001_B_s123	finetune	ok	1823
lr0.001_B_s123	retention_final_state	ok	135
lr0.001_B_s123	retention_best_encoder	ok	133
lr0.001_B_s456	finetune	ok	1818
lr0.001_B_s456	retention_final_state	ok	135
lr0.001_B_s456	retention_best_encoder	ok	135
lr0.001_D_s42	finetune	ok	1766
lr0.001_D_s42	retention_final_state	ok	135
lr0.001_D_s42	retention_best_encoder	ok	133
lr0.001_D_s123	finetune	ok	1747
lr0.001_D_s123	retention_final_state	ok	133
lr0.001_D_s123	retention_best_encoder	ok	132
lr0.001_D_s456	finetune	ok	1738
lr0.001_D_s456	retention_final_state	ok	134
lr0.001_D_s456	retention_best_encoder	ok	136
lr0.01_B_s42	finetune	ok	1818
lr0.01_B_s42	retention_final_state	ok	136
lr0.01_B_s42	retention_best_encoder	ok	135
lr0.01_B_s123	finetune	ok	1837
lr0.01_B_s123	retention_final_state	ok	131
lr0.01_B_s123	retention_best_encoder	ok	134
lr0.01_B_s456	finetune	ok	1802
lr0.01_B_s456	retention_final_state	ok	134
lr0.01_B_s456	retention_best_encoder	ok	132
lr0.01_D_s42	finetune	ok	1740
lr0.01_D_s42	retention_final_state	ok	133
lr0.01_D_s42	retention_best_encoder	ok	132
lr0.01_D_s123	finetune	ok	1740
lr0.01_D_s123	retention_final_state	ok	133
lr0.01_D_s123	retention_best_encoder	ok	132
lr0.01_D_s456	finetune	ok	1741
lr0.01_D_s456	retention_final_state	ok	133
lr0.01_D_s456	retention_best_encoder	ok	132
